0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:48:02 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:48:08 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:48:09 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:48:15 +0100] "DELETE /Offers/rest/delete/0 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:48:17 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/0.01 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:48:20 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:49:05 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:49:07 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:49:09 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:51:30 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/0.01 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:51:37 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:52:18 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/0.01 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:52:21 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:52:22 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:53:36 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/0.01 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:53:40 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:53:42 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:55:09 +0100] "POST /Offers/rest/create/table/sturdy/pounds/1.99/0.01 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Oct/2018:23:55:12 +0100] "GET /Offers/rest/view HTTP/1.1" 200 148
